Id;Type;Name;Schema;ParentId;ParentType;Title;Description;CustomField1;CustomField2;CustomField3
1171;COLUMN;Database Version;;2;TABLE;;Version number of the database in 9.yy.mm.dd.00 format.;;;
1173;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1170;COLUMN;SystemInformationID;;2;TABLE;;Primary key for AWBuildVersion records.;;;
1172;COLUMN;VersionDate;;2;TABLE;;Date and time the record was last updated.;;;
1174;COLUMN;DatabaseLogID;;2;TABLE;;Primary key for DatabaseLog records.;;;
1176;COLUMN;DatabaseUser;;2;TABLE;;The user who implemented the DDL change.;;;
1177;COLUMN;Event;;2;TABLE;;The type of DDL statement that was executed.;;;
1179;COLUMN;Object;;2;TABLE;;The object that was changed by the DDL statement.;;;
1175;COLUMN;PostTime;;2;TABLE;;The date and time the DDL change occurred.;;;
1178;COLUMN;Schema;;2;TABLE;;The schema to which the changed object belongs.;;;
1180;COLUMN;TSQL;;2;TABLE;;The exact Transact-SQL statement that was executed.;;;
1181;COLUMN;XmlEvent;;2;TABLE;;The raw XML data generated by database trigger.;;;
1189;COLUMN;ErrorLine;;2;TABLE;;The line number at which the error occurred.;;;
1182;COLUMN;ErrorLogID;;2;TABLE;;Primary key for ErrorLog records.;;;
1190;COLUMN;ErrorMessage;;2;TABLE;;The message text of the error that occurred.;;;
1185;COLUMN;ErrorNumber;;2;TABLE;;The error number of the error that occurred.;;;
1188;COLUMN;ErrorProcedure;;2;TABLE;;The name of the stored procedure or trigger where the error occurred.;;;
1186;COLUMN;ErrorSeverity;;2;TABLE;;The severity of the error that occurred.;;;
1187;COLUMN;ErrorState;;2;TABLE;;The state number of the error that occurred.;;;
1183;COLUMN;ErrorTime;;2;TABLE;;The date and time at which the error occurred.;;;
1184;COLUMN;UserName;;2;TABLE;;The user who executed the batch in which the error occurred.;;;
1191;COLUMN;DepartmentID;;2;TABLE;;Primary key for Department records.;;;
1193;COLUMN;GroupName;;2;TABLE;;Name of the group to which the department belongs.;;;
1194;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1192;COLUMN;Name;;2;TABLE;;Name of the department.;;;
1201;COLUMN;BirthDate;;2;TABLE;;Date of birth.;;;
1195;COLUMN;BusinessEntityID;;2;TABLE;;Primary key for Employee records.  Foreign key to BusinessEntity.BusinessEntityID.;;;
1208;COLUMN;CurrentFlag;;2;TABLE;;0 = Inactive, 1 = Active;;;
1203;COLUMN;Gender;;2;TABLE;;M = Male, F = Female;;;
1204;COLUMN;HireDate;;2;TABLE;;Employee hired on this date.;;;
1200;COLUMN;JobTitle;;2;TABLE;;Work title such as Buyer or Sales Representative.;;;
1197;COLUMN;LoginID;;2;TABLE;;Network login. Test2;;;
1202;COLUMN;MaritalStatus;;2;TABLE;;M = Married, S = Single;;;
1210;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1196;COLUMN;NationalIDNumber;;2;TABLE;;Unique national identification number such as a social security number.;;;
1199;COLUMN;OrganizationLevel;;2;TABLE;;The depth of the employee in the corporate hierarchy.;;;
1198;COLUMN;OrganizationNode;;2;TABLE;;Where the employee is located in corporate hierarchy.;;;
1209;COLUMN;rowguid;;2;TABLE;;ROWGUIDCOL number uniquely identifying the record. Used to support a merge replication sample.;;;
1205;COLUMN;SalariedFlag;;2;TABLE;;Job classification. 0 = Hourly, not exempt from collective bargaining. 1 = Salaried, exempt from collective bargaining.;;;
1207;COLUMN;SickLeaveHours;;2;TABLE;;Number of available sick leave hours.;;;
1206;COLUMN;VacationHours;;2;TABLE;;Number of available vacation hours.;;;
1211;COLUMN;BusinessEntityID;;2;TABLE;;Employee identification number. Foreign key to Employee.BusinessEntityID.;;;
1212;COLUMN;DepartmentID;;2;TABLE;;Department in which the employee worked including currently. Foreign key to Department.DepartmentID.;;;
1215;COLUMN;EndDate;;2;TABLE;;Date the employee left the department. NULL = Current department.;;;
1216;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1213;COLUMN;ShiftID;;2;TABLE;;Identifies which 8-hour shift the employee works. Foreign key to Shift.Shift.ID.;;;
1214;COLUMN;StartDate;;2;TABLE;;Date the employee started work in the department.;;;
1217;COLUMN;BusinessEntityID;;2;TABLE;;Employee identification number. Foreign key to Employee.BusinessEntityID.;;;
1221;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1220;COLUMN;PayFrequency;;2;TABLE;;1 = Salary received monthly, 2 = Salary received biweekly;;;
1219;COLUMN;Rate;;2;TABLE;;Salary hourly rate.;;;
1218;COLUMN;RateChangeDate;;2;TABLE;;Date the change in pay is effective;;;
1223;COLUMN;BusinessEntityID;;2;TABLE;;Employee identification number if applicant was hired. Foreign key to Employee.BusinessEntityID.;;;
1222;COLUMN;JobCandidateID;;2;TABLE;;Primary key for JobCandidate records.;;;
1225;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1224;COLUMN;Resume;;2;TABLE;;Résumé in XML format.;;;
1229;COLUMN;EndTime;;2;TABLE;;Shift end time.;;;
1230;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1227;COLUMN;Name;;2;TABLE;;Shift description.;;;
1226;COLUMN;ShiftID;;2;TABLE;;Primary key for Shift records.;;;
1228;COLUMN;StartTime;;2;TABLE;;Shift start time.;;;
1231;COLUMN;AddressID;;2;TABLE;;Primary key for Address records.;;;
1232;COLUMN;AddressLine1;;2;TABLE;;First street address line.;;;
1233;COLUMN;AddressLine2;;2;TABLE;;Second street address line.;;;
1234;COLUMN;City;;2;TABLE;;Name of the city.;;;
1239;COLUMN;ModifiedDate;;2;TABLE;;Date and time the record was last updated.;;;
1236;COLUMN;PostalCode;;2;TABLE;;Postal code for the street address.;;;
